episode,task,step,global_frame,sim_time_s,state_x,state_y,state_z,state_yaw,speed_world_mps,yaw_rate_rps,goal_distance_m,effective_target_source,hierarchical_mode,planner_status,macro_update_mask,macro_correction_type,expert_goal_dir_x,expert_goal_dir_y,expert_goal_dir_z,expert_goal_dist_norm,guide_x,guide_y,guide_z,guide_distance_norm,state_gravity_x,state_gravity_y,state_gravity_z,minimum_body_clearance_m,depth_min_m,depth_mean_m,depth_near_1m_frac,depth_near_2m_frac,depth_near_3m_frac,depth_near_4m_frac,depth_left_near_4m_frac,depth_center_near_4m_frac,depth_right_near_4m_frac,normalized_cmd_vx,normalized_cmd_vy,normalized_cmd_vz,normalized_cmd_yaw_rate,cmd_vx_flu,cmd_vy_flu,cmd_vz_flu,cmd_yaw_rate,inference_ms
0,small_short,0,6,0.03333333333333333,-5.7405986630953976e-09,7.0,2.000577449798584,-0.8435893643103575,0.030650852016889118,0.0,6.0000000277873555,PASS_THROUGH,blocked,NO_SAFE_CANDIDATE,1,PASS_THROUGH,0.6647857365055965,0.7470340852589737,0.0,0.9,0.6647857365055965,0.7470340852589737,0.0,0.9,0.0,-0.0,-1.0,2.3000000000000003,1.4499999284744263,4.058401584625244,0.0,0.128125,0.2734375,0.34609375,0.5387323943661971,0.25,0.25,0.018082305788993835,0.022136447951197624,0.0011638900032266974,0.27876392006874084,0.04520576447248459,0.055341120809316635,0.0029097250662744045,0.41814589500427246,2.714735994231887
0,small_short,1,7,0.06666666666666667,8.287847208521271e-07,7.000004768371582,2.00181245803833,-0.8435392873175649,0.04100447744717998,0.004402362275868654,5.999995505379032,PASS_THROUGH,blocked,NO_SAFE_CANDIDATE,0,PASS_THROUGH,0.6648231425283,0.7470007897561716,-9.624163265161399e-05,0.9,0.6648231425283,0.7470007897561716,-9.624163265161399e-05,0.9,0.00016187953052954963,0.00019718573030692055,-0.9999999674564022,2.299995231628533,1.4499999284744263,4.058432579040527,0.0,0.128125,0.2734375,0.34609375,0.5387323943661971,0.25,0.25,0.04508856311440468,0.023229720070958138,-8.072610944509506e-05,0.4347439706325531,0.11272140592336655,0.05807429924607277,-0.00020181527361273766,0.6521159410476685,2.3859920038376004
0,small_short,2,8,0.1,2.5736357201822102e-05,7.000052452087402,2.003204107284546,-0.8431440786713426,0.04170724960658777,0.021690769121050835,5.999948403500504,PASS_THROUGH,blocked,NO_SAFE_CANDIDATE,0,PASS_THROUGH,0.6651181806443024,0.7467380494699337,-0.00030207656600829094,0.9,0.6651181806443025,0.7467380494699338,-0.000302076566008291,0.9,0.00359261484421678,0.0013681533287096012,-0.9999926106102236,2.299947548022993,1.4499999284744263,4.053736209869385,0.0,0.12837239583333335,0.27443033854166665,0.3473990885416667,0.5404049295774648,0.2520833333333333,0.25016549844236763,0.0572584867477417,0.024534763768315315,-0.0008739333134144545,0.5579873323440552,0.14314621686935425,0.061336908489465714,-0.002184833399951458,0.8369809985160828,2.329397997527849
0,small_short,3,9,0.13333333333333333,0.0001601526455488056,7.000255107879639,2.0045368671417236,-0.8418892320039278,0.039863189389980506,0.05440262705087662,5.999746609594167,PASS_THROUGH,blocked,NO_SAFE_CANDIDATE,0,PASS_THROUGH,0.6660515374349407,0.7459055330942048,-0.00053402247303936,0.9,0.6660515374349408,0.7459055330942049,-0.0005340224730393601,0.9,0.017158514407406567,0.003982855445509768,-0.9998448490870125,2.2997448963955365,1.4399999380111694,4.034793376922607,0.0,0.13565755208333333,0.2807845052083333,0.35326171875,0.5453051643192488,0.25833333333333336,0.25660046728971964,0.05910655856132507,0.02028845250606537,-0.0014204205945134163,0.5943226218223572,0.14776639640331268,0.05072113126516342,-0.0035510514862835407,0.8914839029312134,2.3332519995165057
0,small_short,4,10,0.16666666666666666,0.0005348646664060652,7.000770092010498,2.005723714828491,-0.8392526724838393,0.042841809224157756,0.10099514573812485,5.999232662258347,PASS_THROUGH,blocked,NO_SAFE_CANDIDATE,0,PASS_THROUGH,0.6679990768554673,0.7441617173151327,-0.0007561764582638789,0.9,0.6679990768554673,0.7441617173151327,-0.0007561764582638789,0.9,0.03699171212605195,0.006983172629706444,-0.9992911730491804,2.2992299556817795,1.4299999475479126,4.005128860473633,0.0,0.146396484375,0.29046223958333334,0.362373046875,0.5529831768388106,0.26888693270735525,0.2657028816199377,0.05875249579548836,0.01381775178015232,-0.001164297922514379,0.5312278270721436,0.14688123762607574,0.03454437851905823,-0.0029107448644936085,0.7968417406082153,2.3322369961533695
0,small_short,5,11,0.2,0.0012783578131347895,7.001723766326904,2.006754159927368,-0.834913237381871,0.05414338769259518,0.1595637947320938,5.998280172543003,PASS_THROUGH,blocked,NO_SAFE_CANDIDATE,0,PASS_THROUGH,0.6711756033113015,0.7412977804240227,-0.0009540744876423212,0.9,0.6711756033113015,0.7412977804240227,-0.0009540744876423212,0.9,0.054022684735309225,0.007553582355164554,-0.9985111381089312,2.298276506196122,1.4199999570846558,3.975363254547119,0.0,0.15708658854166666,0.30008138020833336,0.37137044270833336,0.5625489045383412,0.2778364632237872,0.2741822429906542,0.06171184033155441,0.007079753093421459,-0.0014395014150068164,0.4349726140499115,0.15427960455417633,0.017699383199214935,-0.003598753595724702,0.652458906173706,2.368209999985993
0,small_short,6,12,0.23333333333333334,0.002483121119439602,7.0031561851501465,2.0076074600219727,-0.8287401417280218,0.06992599077769102,0.22299601137638092,5.996849154267717,PASS_THROUGH,blocked,NO_SAFE_CANDIDATE,1,PASS_THROUGH,0.6756473822552168,0.7372240819041795,-0.0011260160801232968,0.9,0.6756473822552168,0.7372240819041795,-0.0011260160801232968,0.9,0.06259779582050609,0.003926633809888787,-0.9980311104897168,2.296844843580381,1.409999966621399,3.952162742614746,0.0,0.16523111979166666,0.3073860677083333,0.37806640625,0.572300469483568,0.2820226917057903,0.2803348909657321,0.06523195654153824,0.0009422802249900997,-0.003179402556270361,0.4068472683429718,0.1630798876285553,0.0023557005915790796,-0.007948506623506546,0.6102709174156189,2.3455620030290447
0,small_short,7,13,0.26666666666666666,0.004201489966362715,7.00501823425293,2.0082316398620605,-0.8207904752788326,0.0868188539411433,0.27934730052948,5.994988889401933,PASS_THROUGH,blocked,NO_SAFE_CANDIDATE,0,PASS_THROUGH,0.6813394651211221,0.7319664773628133,-0.0012685761849718586,0.9,0.6813394651211222,0.7319664773628134,-0.0012685761849718588,0.9,0.06290155435194064,-0.0034927199127111515,-0.9980136248407239,2.2949847127615493,1.4199999570846558,3.935485363006592,0.0,0.1711328125,0.31248046875,0.38255859375,0.5826584507042254,0.282052034428795,0.28343068535825544,0.06656184792518616,-0.002127163577824831,-0.004872950259596109,0.4473881125450134,0.1664046198129654,-0.005317908711731434,-0.01218237541615963,0.6710821390151978,2.2966169999563135
0,small_short,8,14,0.3,0.006456152070313692,7.007211685180664,2.0086121559143066,-0.8111999614463061,0.10319645590417574,0.3266950249671936,5.992797980690174,PASS_THROUGH,blocked,NO_SAFE_CANDIDATE,0,PASS_THROUGH,0.6881198174814973,0.7255957768771701,-0.0013730867586114483,0.9,0.6881198174814973,0.7255957768771701,-0.0013730867586114483,0.9,0.057777823631986316,-0.01253286226044742,-0.9982507953715397,2.2927952785345536,1.4199999570846558,3.9225330352783203,0.0,0.17586588541666667,0.316376953125,0.385859375,0.5938184663536776,0.27927425665101724,0.28495911214953273,0.06474580615758896,-0.0024175746366381645,-0.0056604789569973946,0.5088742971420288,0.1618645191192627,-0.006043936591595411,-0.014151196926832199,0.7633114457130432,2.4706100011826493
0,small_short,9,15,0.3333333333333333,0.009238988161087036,7.00963020324707,2.0087881088256836,-0.7999721587383506,0.11795063159248592,0.3693806827068329,5.990383367665938,PASS_THROUGH,blocked,NO_SAFE_CANDIDATE,0,PASS_THROUGH,0.6959527573319372,0.7180861329609265,-0.0014370843038688252,0.9,0.6959527573319372,0.7180861329609265,-0.0014370843038688252,0.9,0.04977004337543796,-0.01988632535209589,-0.9985627055154812,2.290384069017624,1.4299999475479126,3.910783290863037,0.0,0.17997721354166665,0.31977213541666666,0.38867838541666666,0.6076682316118935,0.2750195618153365,0.28383956386292836,0.06061064824461937,-0.0006961392937228084,-0.005830070935189724,0.5722634196281433,0.15152661502361298,-0.0017403482925146818,-0.014575177803635597,0.8583950996398926,2.3140529956435785
