episode_frame_index,trajectory_time_s,control_dt_s,x,y,z,yaw,yaw_rate,state_vx_flu,state_vy_flu,state_vz_flu,speed_world_mps,effective_target_world_x,effective_target_world_y,effective_target_world_z,goal_direction_flu_x,goal_direction_flu_y,goal_direction_flu_z,goal_distance_norm,target_velocity_flu_x,target_velocity_flu_y,target_velocity_flu_z,target_yaw_rate,hierarchical_mode,planner_status,planner_failure_reason,plan_valid,plan_terminal,plan_points_xy,macro_update_mask,macro_label_valid,macro_correction_type,macro_direction_token,macro_direction_flu_x,macro_direction_flu_y,macro_direction_flu_z,macro_distance_norm,min_observed_clearance_m,truth_minimum_clearance_m,truth_brake_risk,truth_brake_would_trigger,emergency_brake,local_corridor_blocked,fsm_state,effective_target_source,target_correction_active,observability_reason,scene_id,task_id,navigation_goal_world_x,navigation_goal_world_y,navigation_goal_world_z,original_navigation_goal_world_x,original_navigation_goal_world_y,original_navigation_goal_world_z,episode_valid,failure_taxonomy
275,9.2,0.033333,3.3472745418548584,9.473006248474121,2.5264413356781006,-0.37748381439361284,0.059826429933309555,1.793770394712176,-0.28708871505880673,0.09253432201878316,1.8189543039921225,6.0,25.0,2.0,0.9781356833586187,0.20531658963565066,-0.03310110211086583,0.9,1.801842451095581,-0.2778274714946747,0.09242399781942368,0.0883910059928894,direct,SAFE_PROGRESSING,NONE,1,0,"3.316,9.421;3.401,9.914;3.486,10.406;3.571,10.899;3.656,11.392;3.741,11.885;3.826,12.377",0,1,PASS_THROUGH,-1,0.9775340585314561,0.20839259677782054,-0.03161787499526854,0.9,4.91989275037395,5.661834881888463,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,11,6.0,25.0,2.0,6.0,25.0,2.0,1,
276,9.233333,0.033333,3.3780157566070557,9.5252103805542,2.5293045043945312,-0.37549042125419363,0.059729788452386856,1.7951132517007413,-0.2860920836994739,0.09222193744907092,1.820105808060063,6.0,25.0,2.0,0.9782538323528839,0.2047040409544616,-0.03340202245089187,0.9,1.8030307292938232,-0.2769153118133545,0.09209438413381577,0.08795604109764099,direct,SAFE_PROGRESSING,NONE,1,0,"3.347,9.473;3.431,9.966;3.516,10.459;3.600,10.952;3.684,11.444;3.768,11.937;3.852,12.430",1,1,PASS_THROUGH,-1,0.9788000059233025,0.20481833024547139,0.0,0.9,4.8815584265617025,5.628615483800371,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,11,6.0,25.0,2.0,6.0,25.0,2.0,1,
277,9.266667,0.033333,3.408637523651123,9.577529907226562,2.5321552753448486,-0.3735005642156266,0.059598810970783234,1.7964655547391377,-0.2850482828694714,0.09176555018558581,1.8212528460188866,6.0,25.0,2.0,0.9783704861840441,0.20409605247416074,-0.033704497154859486,0.9,1.8040893077850342,-0.27615514397621155,0.09175336360931396,0.08732070028781891,direct,SAFE_PROGRESSING,NONE,1,0,"3.378,9.525;3.462,10.018;3.545,10.511;3.629,11.004;3.712,11.497;3.796,11.990;3.879,12.483",0,1,PASS_THROUGH,-1,0.9782538323528839,0.2047040409544616,-0.03340202245089187,0.9,4.843527594153536,5.595653368680189,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,11,6.0,25.0,2.0,6.0,25.0,2.0,1,
278,9.3,0.033333,3.439138889312744,9.629965782165527,2.5349936485290527,-0.37151612178980586,0.0594189278781414,1.7978025820850092,-0.2839708179502892,0.09120617238313247,1.8223754046517595,6.0,25.0,2.0,0.9784852823080109,0.20349440818482845,-0.034008501056626714,0.9,1.8052548170089722,-0.2754155099391937,0.0913790687918663,0.08652517199516296,direct,SAFE_PROGRESSING,NONE,1,0,"3.409,9.578;3.491,10.071;3.574,10.564;3.657,11.057;3.740,11.550;3.823,12.043;3.906,12.536",0,1,PASS_THROUGH,-1,0.9782538323528839,0.2047040409544616,-0.03340202245089187,0.9,4.805808430466887,5.562952537306124,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,11,6.0,25.0,2.0,6.0,25.0,2.0,1,
279,9.333333,0.033333,3.4695191383361816,9.682512283325195,2.5378191471099854,-0.36953916613592974,0.059177134186029434,1.7991072398799144,-0.2828867846341218,0.09060602865616649,1.8234640785981495,6.0,25.0,2.0,0.9785978176705141,0.20290110093415878,-0.03431405674375443,0.9,1.8055448532104492,-0.27536189556121826,0.09109759330749512,0.0852356031537056,direct,SAFE_PROGRESSING,NONE,1,0,"3.439,9.630;3.521,10.123;3.603,10.616;3.686,11.110;3.768,11.603;3.850,12.096;3.932,12.589",0,1,PASS_THROUGH,-1,0.9782538323528839,0.2047040409544616,-0.03340202245089187,0.9,4.768408586947939,5.5305230809124275,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,11,6.0,25.0,2.0,6.0,25.0,2.0,1,
280,9.366667,0.033333,3.4997785091400146,9.735172271728516,2.540632963180542,-0.367572493118062,0.058835580945014954,1.8003575105282936,-0.28183561733236645,0.0898922170029691,1.8244996825405204,6.0,25.0,2.0,0.9787075317199248,0.20231891626816867,-0.03462114201995915,0.9,1.8063912391662598,-0.27505001425743103,0.09076011180877686,0.08394347131252289,direct,SAFE_PROGRESSING,NONE,1,0,"3.470,9.683;3.551,10.176;3.633,10.669;3.714,11.162;3.796,11.656;3.877,12.149;3.958,12.642",0,1,PASS_THROUGH,-1,0.9782538323528839,0.2047040409544616,-0.03340202245089187,0.9,4.731342182729647,5.498367974802838,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,11,6.0,25.0,2.0,6.0,25.0,2.0,1,
281,9.4,0.033333,3.529919147491455,9.787939071655273,2.543436288833618,-0.3656200159509173,0.05837878957390785,1.8015225212451715,-0.280863070239028,0.08912474906640662,1.8254617716276074,6.0,25.0,2.0,0.9788136465416979,0.2017517041978136,-0.03492986110796735,0.9,1.8063023090362549,-0.2756354510784149,0.09052183479070663,0.08180613815784454,direct,SAFE_PROGRESSING,NONE,1,0,"3.500,9.735;3.581,10.229;3.661,10.722;3.742,11.215;3.823,11.709;3.904,12.202;3.985,12.696",0,1,PASS_THROUGH,-1,0.9782538323528839,0.2047040409544616,-0.03340202245089187,0.9,4.694615943560955,5.466499609930235,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,11,6.0,25.0,2.0,6.0,25.0,2.0,1,
282,9.433333,0.033333,3.559943914413452,9.84080696105957,2.546231269836426,-0.3636858707260841,0.05776742845773697,1.8025748848256231,-0.2800103855799775,0.08828620680279142,1.8263286905013514,6.0,25.0,2.0,0.9789153034202631,0.2012037525466289,-0.0352402992434712,0.9,1.8067551851272583,-0.2756035625934601,0.09029873460531235,0.08037178963422775,direct,SAFE_PROGRESSING,NONE,1,0,"3.530,9.788;3.610,10.281;3.690,10.775;3.770,11.269;3.850,11.762;3.931,12.256;4.011,12.749",1,1,PASS_THROUGH,-1,0.9795237171887089,0.20132880435947176,0.0,0.9,4.658246382280323,5.434929941375683,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,11,6.0,25.0,2.0,6.0,25.0,2.0,1,
283,9.466667,0.033333,3.5898568630218506,9.893770217895508,2.5490200519561768,-0.36177531699274934,0.05700915679335594,1.803484162972663,-0.2793153878204092,0.08750357233362611,1.8270821238076895,6.0,25.0,2.0,0.9790114168707875,0.20068048679962017,-0.0355526068597036,0.9,1.8080049753189087,-0.274773508310318,0.09001675993204117,0.07959190011024475,direct,SAFE_PROGRESSING,NONE,1,0,"3.560,9.841;3.639,10.334;3.719,10.828;3.798,11.322;3.878,11.815;3.957,12.309;4.037,12.803",0,1,PASS_THROUGH,-1,0.9789153034202631,0.2012037525466289,-0.0352402992434712,0.9,4.62224964657574,5.40367159373584,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,11,6.0,25.0,2.0,6.0,25.0,2.0,1,
284,9.5,0.033333,3.619661808013916,9.946823120117188,2.5518040657043457,-0.35989099165345123,0.056192345917224884,1.8042651480215632,-0.2787628732860885,0.086998348251285,1.82774455996631,6.0,25.0,2.0,0.9791014202382954,0.20018484394151057,-0.035866936633427396,0.9,1.8083946704864502,-0.2743348181247711,0.08981870114803314,0.07877635955810547,direct,SAFE_PROGRESSING,NONE,1,0,"3.590,9.894;3.669,10.388;3.747,10.881;3.826,11.375;3.905,11.869;3.984,12.363;4.063,12.856",0,1,PASS_THROUGH,-1,0.9789153034202631,0.2012037525466289,-0.0352402992434712,0.9,4.58664263385162,5.372737177386648,0.0,0,0,0,DIRECT_LOCAL,PASS_THROUGH,0,BYPASS_VISIBLE,1,11,6.0,25.0,2.0,6.0,25.0,2.0,1,
